,Departamento,Municipio,Fuente,Victima,Agente,Año,Tipo_agresion
0,La Guajira,Uribia,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
1,San Andres, ,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
2,San Andres,Providencia,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
3,San Andres,San Andres,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
4,La Guajira,Manaure,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
6,La Guajira,Riohacha,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
9,Magdalena,Santa Marta,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,3,,2015,
10,La Guajira,Hatonuevo,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
13,Atlantico,Barranquilla,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,2,,2015,
15,Atlantico,Puerto Colombia,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
16,La Guajira,Distraccion,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
19,Magdalena,Zona Bananera,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
20,Magdalena,Puebloviejo,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
21,Atlantico,Tubara,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
22,Atlantico,Galapa,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
23,Atlantico,Soledad,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
25,Atlantico,Juan De Acosta,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
26,Cesar,Valledupar,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,2,,2015,
27,Magdalena,Aracataca,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
28,Atlantico,Baranoa,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
29,Atlantico,Sabanagrande,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
30,Atlantico,Polonuevo,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
32,Atlantico,Usiacuri,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
33,Bolivar,Santa Catalina,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
34,Atlantico,Santo Tomas,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
36,Magdalena,El Reten,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
37,Magdalena,Remolino,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
38,Atlantico,Sabanalarga,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
40,Atlantico,Luruaco,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
41,Bolivar,Cartagena,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,4,,2015,
42,Cesar,Pueblo Bello,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
43,Magdalena,Pivijay,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,2,,2015,
44,La Guajira,Villanueva,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
46,Magdalena,Fundacion,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,3,,2015,
47,Bolivar,Clemencia,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
48,Atlantico,Repelon,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
49,Magdalena,Salamina,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
50,Atlantico,Candelaria,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
51,La Guajira,Urumita,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
52,Atlantico,Manati,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
53,Bolivar,Santa Rosa,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
54,Bolivar,Villanueva,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
55,La Guajira,La Jagua Del Pilar,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
57,Atlantico,Campo De La Cruz,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
59,Bolivar,San Estanislao,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
60,Cesar,Manaure,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
61,Bolivar,Soplaviento,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
63,Bolivar,Turbaco,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
64,Cesar,El Copey,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
65,Atlantico,Santa Lucia,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
69,Cesar,San Diego,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
70,Atlantico,Suan,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
72,Bolivar,Mahates,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
74,Bolivar,Turbana,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
75,Magdalena,Zapayan,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
76,Bolivar,Arroyohondo,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
77,Magdalena,Sabanas De San Angel,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
78,Magdalena,Pedraza,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
79,Magdalena,Chivolo,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
80,Cesar,Agustin Codazzi,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
81,Bolivar,El Guamo,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
82,Sucre,San Onofre,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,1,,2015,
83,Bolivar,San Juan Nepomuceno,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
84,Bolivar,Maria La Baja,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
85,Cesar,Bosconia,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
86,Magdalena,Tenerife,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
87,Magdalena,Plato,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
89,Cesar,Becerril,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
91,Bolivar,San Jacinto,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
92,Bolivar,El Carmen De Bolivar,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,2,,2015,
94,Bolivar,Zambrano,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
95,Magdalena,Santa Ana,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
96,Magdalena,Piji¥O Del Carmen,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
100,Sucre,Chalan,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
101,Bolivar,Cordoba,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
102,Sucre,Tolu,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
103,Sucre,Toluviejo,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
104,Sucre,Coloso,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
105,Cesar,Chiriguana,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
106,Cesar,Astrea,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
112,Magdalena,San Zenon,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
113,Sucre,Buenavista,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
114,Cordoba,San Antero,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
117,Sucre,Palmito,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
118,Cesar,Curumani,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
119,Magdalena,Guamal,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
120,Magdalena,El Banco,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,1,,2015,
122,Cordoba,Lorica,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
125,Bolivar,Mompos,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
126,Bolivar,Cicuco,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
127,Norte De Santander,El Carmen,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
128,Cordoba,San Andres De Sotavento,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
129,Norte De Santander,Convencion,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
133,Cordoba,Cotorra,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
136,Norte De Santander,Tibu,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
137,Cordoba,San Pelayo,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
139,Bolivar,Pinillos,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
141,Cordoba,Cienaga De Oro,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
142,Bolivar,Hatillo De Loba,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
143,Bolivar,El Pe¥On,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
147,Bolivar,Barranco De Loba,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
148,Cordoba,Monteria,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,6,,2015,
149,Sucre,Caimito,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
151,Cesar,Pelaya,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
152,Sucre,La Union,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
155,Norte De Santander,El Tarra,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
159,Bolivar,Achi,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
162,Sucre,San Marcos,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
163,Antioquia,Necocli,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
164,Bolivar,Rio Viejo,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
165,Choco,Acandi,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
166,Bolivar,Tiquisio,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
167,Antioquia,San Pedro De Uraba,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
169,Norte De Santander,San Calixto,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
171,Sucre,Guaranda,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
173,Cordoba,Ayapel,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
177,Bolivar,Montecristo,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
179,Norte De Santander,Sardinata,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
180,Cordoba,Valencia,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,1,,2015,
181,Norte De Santander,Cucuta,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,6,,2015,
183,Bolivar,San Jacinto Del Cauca,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
184,Norte De Santander,Puerto Santander,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
185,Cordoba,Buenavista,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
187,Cesar,Rio De Oro,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
189,Norte De Santander,El Zulia,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
193,Cordoba,Montelibano,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
195,Bolivar,Simiti,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
196,Cordoba,La Apartada,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
197,Santander,Puerto Wilches,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
198,Bolivar,Santa Rosa Del Sur,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
199,Cesar,San Martin,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
200,Norte De Santander,Villa Caro,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
201,Antioquia,Caucasia,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
203,Norte De Santander,Lourdes,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
204,Norte De Santander,Gramalote,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
208,Norte De Santander,San Cayetano,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
210,Norte De Santander,Villa Del Rosario,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
212,Norte De Santander,Durania,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
213,Norte De Santander,Los Patios,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
214,Norte De Santander,La Esperanza,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
217,Santander,Rionegro,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
218,Norte De Santander,Arboledas,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
219,Antioquia,Zaragoza,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
222,Norte De Santander,Ragonvalia,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
224,Norte De Santander,Cucutilla,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
225,Santander,El Playon,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,2,,2015,
227,Norte De Santander,Herran,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
228,Bolivar,San Pablo,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,2,,2015,
229,Santander,California,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
230,Antioquia,Segovia,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,2,,2015,
231,Santander,Vetas,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
233,Santander,Matanza,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
234,Bolivar,Cantagallo,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
236,Antioquia,Anori,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
237,Antioquia,Valdivia,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
238,Antioquia,Ituango,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
239,Santander,Lebrija,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
243,Norte De Santander,Cacota,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
245,Antioquia,Amalfi,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
246,Antioquia,Yondo,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
247,Santander,Giron,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,4,,2015,
248,Antioquia,Remedios,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
249,Santander,Tona,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
250,Antioquia,Yarumal,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
251,Norte De Santander,Chitaga,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
253,Santander,Barrancabermeja,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,4,,2015,
254,Antioquia,Brice¥O,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
255,Antioquia,Peque,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
256,Antioquia,Campamento,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
257,Santander,San Vicente De Chucuri,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
259,Santander,Betulia,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
260,Santander,Piedecuesta,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
261,Antioquia,Toledo,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
262,Arauca,Arauca,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,5,,2015,
263,Santander,Santa Barbara,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
265,Arauca,Saravena,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
268,Antioquia,Uramita,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
270,Antioquia,San Andres,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
273,Santander,Zapatoca,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
275,Antioquia,Vegachi,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
276,Antioquia,Angostura,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
279,Santander,San Andres,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
280,Antioquia,San Jose De La Monta¥A,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
281,Antioquia,Gomez Plata,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
283,Santander,Los Santos,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
284,Santander,El Carmen De Chucuri,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
285,Antioquia,Santa Rosa De Osos,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
288,Boyaca,Chiscas,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
289,Antioquia,Carolina,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
291,Santander,Aratoca,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
