,Departamento,Municipio,Fuente,Victima,Agente,Año,Tipo_agresion
12619,Casanare,Chameza,Noche Y Niebla # 30 Pp. 129,2,Guerrilla  ,2004,
12620,Caldas,Riosucio,Noche Y Niebla # 30 Pp. 130,2,Grupos Paramilitares,2004,
12621,Caldas,Villa María,Noche Y Niebla # 30 Pp. 130,1,Grupos Paramilitares,2004,
12622,Huila,Colombia,Noche Y Niebla # 30 Pp. 130,2,Grupos Paramilitares,2004,
12623,Risaralda,Pereira,Noche Y Niebla # 30 Pp. 131,1,Grupos Paramilitares,2004,
12624,Risaralda,Quinchia,Noche Y Niebla # 30 Pp. 131,1,Grupos Paramilitares,2004,
12625,Risaralda,Santa Rosa De Cabal,Noche Y Niebla # 30 Pp. 131,1,Grupos Paramilitares,2004,
12626,Cesar,Pailitas,Noche Y Niebla # 30 Pp. 132 Y 133,2,Grupos Paramilitares,2004,
12627,Sucre,Ovejas,Noche Y Niebla # 30 Pp. 132,1,Grupo Armado No Identificado,2004,
12628,Tolima,Espinal,Noche Y Niebla # 30 Pp. 132,1,Grupo Armado No Identificado,2004,
12629,Caldas,Manizales,Noche Y Niebla # 30 Pp. 133,1,Grupo Armado No Identificado,2004,
12630,Cesar,Pailitas,Noche Y Niebla # 30 Pp. 133,1,Grupos Paramilitares,2004,
12631,Bogota,Bogotá D.C.,Noche Y Niebla # 30 Pp. 134,1,Grupos Paramilitares,2004,
12632,Choco,Bojayá,Noche Y Niebla # 30 Pp. 133,1,Guerrilla  ,2004,
12633,Cundinamarca,Soacha,Banco De Datos De Derechos Humanos Y Violencia Política Del Cinep,1,Grupos Paramilitares,2004,
12634,Risaralda,Pereira,Noche Y Niebla # 30 Pp. 145,1,Grupos Paramilitares,2004,
12635,Antioquia,Vigía Del Fuerte,Noche Y Niebla # 30 Pp. 145,1,Guerrilla  ,2004,
12636,Choco,Medio Atrato,Noche Y Niebla # 30 Pp. 145,1,Guerrilla  ,2004,
12637,Caldas,Riosucio,Noche Y Niebla # 30 Pp. 146,1,Grupo Armado No Identificado,2004,
12638,Cordoba,Tierralta,Noche Y Niebla # 30 Pp. 146,1,Grupos Paramilitares,2004,
12639,Bogota,Bogotá D.C.,Noche Y Niebla # 30 Pp. 148,1,Grupos Paramilitares,2004,
12640,Cordoba,Tierralta,Noche Y Niebla # 30 Pp. 148,1,Grupos Paramilitares,2004,
12641,Guaviare,Calamar,Noche Y Niebla # 30 Pp. 149,1,Guerrilla  ,2004,
12642,Choco,Quibdó,Noche Y Niebla # 30 Pp. 149,2,Fuerza Pública,2004,
